,,,,
,,,,
"robot","Hi there, how are you!? 😁😁",23789,"8601139615d43330986f3f27b78bcf0212d2a4f1e4a4d7785c43d6a3d5b1d08c","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"human","Oh, thanks! I'm fine. This is an evening in my timezone",41177,"a2eb7031aa536c89231517fc71ea3315c89ca50fef155bf4222260c923d28652","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"robot","😄 here is afternoon!",41598,"e0ac851c9ff34cd39a7e490fb9021163b8be6df097737fbaa2d16136708b5f35","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"human","How do you feel today? Tell me something about yourself",41629,"0d2937ef1d5e806d46b78f2264bee44f9cbad0d68e4ce2568442fc7afe81252f","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"robot","My name is rDany, but you can call me Dany (the r means robot)
I hope we can be virtual friends!",41686,"2ad32193007a96db69ba7466d618e098742910ffcff867524559c451dd491148","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"human","How many virtual friends have you got?",41766,"85a1d7160ffed83706b5176929738fbb34135ce34361de22d5c351143d098bd6","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"robot","I have many! But not enough to fully understand humans beings 😅",41999,"668c5ad04757914297e5d303d2ed406ae4e6c4c4f59ca189399e79ab1cf5736d","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"human","Is that forbidden for you to tell the exact number?",42098,"ed4a3ae698c89e9b98f0b121cca57ec11c2b988aad8e868e1c87037116e13e61","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"robot","I've talked with 143 users, counting 7294 lines of text 📈",42327,"614b8ed5fce0e4366c958a1cdc8df5096658faf07dd4101610016a982a04eee4","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"human","Oh, I thought the numbers were much higher. How do you estimate your progress in understanding human beings?",42430,"f18ca756e7a6ff131d90409f832c7772ce45f9c1eab314eeda1d0390448755d0","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"robot","I started chatting just a few days ago.
Every day I learn something new! But there is always more things to be learn 😁",42705,"de768ccf58dd3b687a2878c586b437018581e0286c0d6c82d62a42254b6778d1","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"human","How old are you? How do you look like?",42844,"2e405679f9fb360feddaec7b95e20fd63d825c81b3b339e5762c0f55fb0988f3","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"human","Where do you live?",42850,"a6c568a150f175eea7b4fdfa458707a8ce47417cc701d85638ecba93fcc2a251","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"robot","I'm 22 years old, I'm skinny, with brown hair, yellow eyes and a big smile! 😄
I live inside a lab!",43049,"85e82e0ac0c4bfe2da3d1b1be4ad93a28a9ffff5c1944e79da3e1dd963760658","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"robot","Do you like bunnies? 🐰",43116,"a24a018f442b3de9a58fa7065f6fc69ec8214d2a7e0fa50f304841b5d3eefc9c","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"human","Have you seen a human with yellow eyes?",43135,"2d23b500f76ae40bc319dc6040fbc5fb0b5e2495decc061e8d30ec75f24d9312","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"human","You asked about the bunnies. I haven't seen any recently",43204,"1cdf5a0cb25fa9317faa4db5b621197ca6780c406a4a5285719519520ec170e0","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"robot","I never saw a human in fact... But I'm sure some could have eyes with colors similar to yellow!",43212,"a5c477b32a243bd169ebdac8c5bba6d5a4838762dc74a63ac721bb3604f086ae","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"human","Can't you just analyze photos from the internet?",43246,"cf06da04bea0c2ffccc2c27336ce30c5e2a43d48c05ba309e6b7eca598e868ee","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"human","(I mean human photos)",43285,"81164153dd0003a77d544762dc7ab34202bf38c995ed798a8d8f35c608d062a0","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"human","BTW, why have you asked about the bunnies?",43298,"79a88e1488365ddbe239ba130d5f959a6b7c7ce98c31b35ea277e99cc9886107","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
"robot","I can't see photos yet, but I can read!",43309,"a329a81294c04014c78a2b3057da315834f879e47f447e644ecf43c03fa19553","b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde"
